DateTime;Battery;Heading;Pitch;Roll;Pressure;Temperature;AnalogIn1;AnalogIn2;Speed#1(1.5m);Dir#1(1.5m);Speed#2(2.5m);Dir#2(2.5m);Speed#3(3.5m);Dir#3(3.5m);Speed#4(4.5m);Dir#4(4.5m);Speed#5(5.5m);Dir#5(5.5m);Speed#6(6.5m);Dir#6(6.5m);Speed#7(7.5m);Dir#7(7.5m);Speed#8(8.5m);Dir#8(8.5m);Speed#9(9.5m);Dir#9(9.5m);Speed#10(10.5m);Dir#10(10.5m);Speed#11(11.5m);Dir#11(11.5m);Speed#12(12.5m);Dir#12(12.5m);Speed#13(13.5m);Dir#13(13.5m);Speed#14(14.5m);Dir#14(14.5m);Speed#15(15.5m);Dir#15(15.5m);Speed#16(16.5m);Dir#16(16.5m);Speed#17(17.5m);Dir#17(17.5m);Speed#18(18.5m);Dir#18(18.5m);Speed#19(19.5m);Dir#19(19.5m);Speed#20(20.5m);Dir#20(20.5m);Speed#21(21.5m);Dir#21(21.5m);Speed#22(22.5m);Dir#22(22.5m);
22/09/2021 08:00:00; 16.0;288.9;  1.2; -2.5; 20.699; 24.81;  0.0;  0.0;  0.058; 133.60;  0.069; 217.37;  0.083; 209.66;  0.131; 213.21;  0.100; 231.07;  0.050; 229.03;  0.112; 234.05;  0.088; 225.46;  0.081; 216.44;  0.116; 196.56;  0.157; 216.21;  0.188; 199.20;  0.164; 216.80;  0.167; 190.03;  0.203; 190.20;  0.142; 181.61;  0.210; 191.52;  0.326; 208.76;  0.694; 211.15;  0.766; 196.14;  0.393; 186.87;  0.257; 188.73;
22/09/2021 09:00:00; 15.9;288.9;  1.2; -2.5; 20.354; 24.86;  0.0;  0.0;  0.073;  24.12;  0.031; 281.31;  0.060; 222.98;  0.071; 215.26;  0.048; 203.36;  0.015; 195.95;  0.026; 270.00;  0.074; 225.00;  0.116; 209.44;  0.096; 231.34;  0.067; 220.79;  0.135; 228.30;  0.185; 226.31;  0.162; 195.75;  0.143; 182.00;  0.139; 188.71;  0.220; 207.26;  0.520; 211.40;  0.817; 202.36;  0.683; 181.09;  0.287; 182.79;  0.137; 173.29;
22/09/2021 10:00:00; 15.9;288.9;  1.2; -2.5; 20.196; 24.87;  0.0;  0.0;  0.036; 206.57;  0.064; 164.67;  0.040; 236.31;  0.013; 218.66;  0.052; 193.24;  0.087; 198.85;  0.078; 181.47;  0.042; 283.71;  0.139; 222.66;  0.219; 212.67;  0.169; 206.26;  0.174; 234.58;  0.089; 218.16;  0.098; 189.37;  0.182; 207.83;  0.201; 212.82;  0.235; 214.09;  0.531; 226.83;  0.802; 215.61;  0.587; 195.72;  0.179; 200.56;  0.173; 206.42;
22/09/2021 11:00:00; 15.9;288.9;  1.2; -2.5; 20.300; 24.91;  0.0;  0.0;  0.064; 143.31;  0.052; 138.92;  0.046; 191.31;  0.101; 165.14;  0.121; 212.51;  0.096; 227.12;  0.155; 228.92;  0.167; 230.59;  0.164; 236.70;  0.146; 226.11;  0.234; 228.81;  0.136; 230.95;  0.133; 232.61;  0.141; 207.47;  0.234; 209.96;  0.237; 224.14;  0.264; 225.46;  0.608; 239.21;  0.905; 237.54;  0.594; 220.50;  0.316; 236.36;  0.207; 230.69;
22/09/2021 12:00:00; 15.9;288.9;  1.2; -2.5; 20.604; 24.94;  0.0;  0.0;  0.036;  15.95;  0.015; 208.30;  0.031; 329.35;  0.051; 178.88;  0.022; 133.15;  0.034; 276.71;  0.105; 251.74;  0.126; 246.08;  0.095; 223.73;  0.133; 240.74;  0.129; 237.05;  0.133; 221.35;  0.153; 221.82;  0.110; 213.11;  0.164; 229.70;  0.220; 218.54;  0.241; 237.36;  0.407; 247.78;  0.910; 255.61;  0.706; 252.03;  0.322; 244.23;  0.269; 223.95;
22/09/2021 13:00:00; 15.8;288.9;  1.2; -2.5; 21.060; 24.95;  0.0;  0.0;  0.042; 324.78;  0.032; 321.34;  0.056; 270.00;  0.034; 292.75;  0.045; 249.15;  0.050; 252.65;  0.014; 236.31;  0.057; 255.72;  0.108; 267.88;  0.148; 237.17;  0.142; 261.47;  0.196; 234.77;  0.149; 218.48;  0.130; 224.38;  0.177; 210.63;  0.143; 226.13;  0.148; 212.62;  0.188; 267.26;  0.679; 271.35;  0.746; 275.38;  0.378; 272.88;  0.259; 237.29;
22/09/2021 14:00:00; 15.8;288.9;  1.2; -2.5; 21.525; 24.95;  0.0;  0.0;  0.044;  32.97;  0.023; 226.74;  0.072; 265.24;  0.046; 159.59;  0.027; 186.34;  0.065; 258.52;  0.063; 287.57;  0.084; 248.96;  0.110; 262.16;  0.136; 254.23;  0.122; 240.08;  0.081; 229.01;  0.159; 241.02;  0.144; 245.39;  0.136; 234.56;  0.150; 242.24;  0.156; 210.84;  0.181; 246.55;  0.550; 276.26;  0.812; 273.60;  0.662; 269.74;  0.323; 254.54;
22/09/2021 15:00:00; 15.8;289.0;  1.1; -2.6; 21.894; 24.93;  0.0;  0.0;  0.053;  16.39;  0.012; 250.02;  0.029;  67.83;  0.022; 195.95;  0.013; 315.00;  0.013; 237.53;  0.055; 262.75;  0.092; 238.39;  0.060; 235.78;  0.069; 227.34;  0.111; 226.09;  0.153; 217.32;  0.122; 235.66;  0.127; 213.44;  0.137; 230.03;  0.151; 221.51;  0.175; 209.50;  0.146; 238.70;  0.222; 272.06;  0.662; 282.57;  0.556; 285.34;  0.426; 285.93;
22/09/2021 16:00:00; 15.8;289.0;  1.1; -2.6; 22.092; 24.88;  0.0;  0.0;  0.064;  17.30;  0.046; 351.16;  0.104; 215.99;  0.059; 306.67;  0.063; 225.64;  0.048; 261.53;  0.061; 236.31;  0.103; 263.29;  0.067; 243.43;  0.067; 185.12;  0.072; 205.50;  0.099; 186.40;  0.070; 201.04;  0.158; 217.52;  0.118; 209.38;  0.126; 190.95;  0.120; 203.14;  0.057; 180.00;  0.147; 157.62;  0.212;  36.76;  0.438;  30.31;  0.363; 354.62;
22/09/2021 17:00:00; 15.8;289.0;  1.3; -2.2; 21.996; 24.88;  0.0;  0.0;  0.020; 272.86;  0.014; 219.29;  0.099; 201.91;  0.029;  97.85;  0.038; 250.14;  0.077; 206.23;  0.103; 195.79;  0.054; 175.76;  0.049; 210.76;  0.134; 231.67;  0.043; 220.31;  0.045; 170.96;  0.041;  15.38;  0.062;  27.80;  0.082; 357.21;  0.064;  23.78;  0.124;  54.52;  0.176;  22.34;  0.161;  46.51;  0.417;  20.65;  0.663;  25.25;  0.553;   8.85;
